label,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
5,2.124763205,-1.786037539,3,6.5834E-5,2,5,-1.51111639,0,0,0,3,-0.926039974
3,1.116528689,1.207100938,2,6.5834E-5,2,5,0.881591108,0,0,0,2,-0.926039974
3,-1.271320389,0.080770756,1,6.5834E-5,2,5,-1.504349795,0,0,0,2,-0.926039974
3,0.629824915,-1.935813205,3,6.5834E-5,2,5,1.737054731,0,0,0,1,-0.926039974
3,0.980145491,-1.979126203,6,6.5834E-5,2,5,1.626483846,0,0,0,1,0.036854013
3,0.629824915,-2.079434573,3,6.5834E-5,2,5,-0.525234152,0,0,0,2,0.309782665
3,0.249997832,0.694818116,6,6.5834E-5,2,5,-0.817208826,0,0,0,2,0.309782665
4,0.249997832,0.694818116,6,6.5834E-5,2,5,-0.817208826,0,0,0,2,0.309782665
2,1.21070672,0.694818116,6,-0.188578675,2,5,-0.817208826,0,0,0,2,-0.822120591
2,-1.654749917,0.694818116,6,6.5834E-5,2,5,-0.817208826,0,0,0,2,0.309782665
3,0.690013236,-1.65705914,3,6.5834E-5,2,5,-0.264866316,0,0,0,2,0.865776658
3,0.249997832,0.103869311,6,-0.188578675,2,5,1.626483846,2,0,1,2,-0.822120591
4,0.980145491,-0.09653874,6,6.5834E-5,2,5,0.881591108,0,0,0,2,0.309782665
3,0.142707519,0.07688639,2,6.5834E-5,2,5,0.881591108,0,0,0,2,-0.926039974
3,-1.271320389,-1.887669656,6,6.5834E-5,2,5,0.654722005,0,0,0,2,0.309782665
2,-0.153727407,-2.083589157,1,6.5834E-5,2,5,0.654722005,0,0,0,1,-0.926039974
2,-1.828890247,-0.705003169,6,6.5834E-5,2,5,-1.85936265,0,0,0,1,1.04956576
4,0.980145491,-0.09653874,6,-0.188578675,2,5,-0.264866316,2,1,1,2,-0.822120591
3,1.785774065,-2.119828123,1,6.5834E-5,2,5,0.654722005,0,0,0,2,-0.926039974
5,-1.271320389,-1.96878271,2,6.5834E-5,2,5,-1.504349795,0,0,0,2,0.309782665
3,0.249997832,0.07688639,2,6.5834E-5,2,5,1.958482843,0,0,0,2,0.309782665
3,-1.271320389,1.124159915,4,6.5834E-5,2,5,0.654722005,0,0,0,2,0.309782665
2,0.629824915,1.212662494,4,6.5834E-5,2,5,-1.348154637,0,0,0,2,-1.375501926
2,0.629824915,-2.119828123,1,6.5834E-5,2,5,1.737054731,0,0,0,1,-0.926039974
2,0.629824915,0.071338526,3,6.5834E-5,2,5,-0.255524121,0,0,0,2,-1.375501926
4,0.980145491,-0.220088185,1,-0.188578675,2,5,-0.264866316,2,1,1,2,-0.822120591
4,1.21070672,-0.720836208,4,6.5834E-5,2,5,0.654722005,0,0,0,2,-1.375501926
5,0.980145491,-0.776211756,3,6.5834E-5,2,5,1.805323646,0,0,0,2,0.309782665
4,0.629854615,-1.887669656,1,-0.188578675,2,5,-1.569159736,3,0,1,2,-0.822120591
4,-1.271320389,0.074103895,3,6.5834E-5,2,5,-1.504349795,0,0,0,2,0.309782665
4,0.249997832,-1.969132135,2,6.5834E-5,2,5,1.549639681,0,0,0,2,-0.926039974
3,0.249997832,0.103869311,1,6.5834E-5,2,5,0.737258802,0,0,0,2,0.309782665
3,0.249997832,0.103869311,1,6.5834E-5,2,5,0.737258802,0,0,0,2,0.309782665
3,0.249997832,0.103869311,1,6.5834E-5,2,5,0.737258802,0,0,0,2,0.309782665
2,-1.654749917,0.873231248,2,6.5834E-5,2,5,0.654722005,0,0,0,1,0.309782665
5,-1.271320389,-0.167041749,4,6.5834E-5,2,5,-1.85936265,0,0,0,3,0.036854013
3,0.980145491,2.046309213,6,6.5834E-5,2,5,0.881591108,0,0,0,2,0.249367942
11,-1.271320389,-1.862304116,3,-0.188578675,2,5,1.626483846,3,0,1,2,0.617908519
